parsed_duration,parsed_name,parsed_objectives,parsed_price,parsed_sku,parsed_url,processed_duration,processed_price
2 jours - 14 h,Formation : Techniques de négociation pour acheteurs,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser les méthodes pour une préparation efficace de sa négociation</li>
<li>S’approprier les techniques d’écoute et de communication lors de l’entretien de négociation</li>
<li>Adapter son style de négociateur et tirer parti des jeux d’influence</li>
</ul>
                                            </div>",1 300 €,5423,https://www.comundi.fr/formation-qualite-des-processus-et-des-fournisseurs/formation-techniques-de-negociation-pour-acheteurs.html,14,1300
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Journée d'étude - Le fait religieux en entreprise,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Comprendre le phénomène de progression du fait religieux dans les relations de travail</li>
<li>Maîtriser le cadre règlementaire et connaître la marge de manœuvre des entreprises</li>
<li>Gérer et instaurer des mesures concrètes pour gérer les situations du quotidien</li>
</ul>
                                            </div>",,4342,https://www.comundi.fr/formation-management-des-ressources-humaines/journee-d-etude-le-fait-religieux-en-entreprise.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation secrétaire et trésorier du CE/CSE,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Exercer pleinement les rôles de secrétaire, trésorier du CE/CSE et de leurs adjoints</li>
<li>Optimiser et sécuriser l’utilisation du budget du CE/CSE</li>
<li>Identifier les responsabilités encourues et sécuriser ses pratiques</li>
</ul>
                                            </div>",,2404,https://www.comundi.fr/formation-missions-et-attributions/formation-secretaire-et-tresorier-du-ce-cse.html,,
2 jours - 14 h,Formation : Bien préparer sa retraite,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Imaginer son projet de vie</li><li>Organiser son départ de façon professionnelle et sereine
</li><li>Anticiper la transition en tirant parti de son potentiel et de son expérience</li></ul>
                                            </div>",1 600 €,LR10,https://www.comundi.fr/formation-preparer-sa-seconde-partie-de-carriere-retraite/formation-bien-preparer-sa-retraite.html,14,1600
2 jours - 14 h,Les Ateliers RGPD 2019,,477.60 €,RG01,https://www.comundi.fr/formation-protection-des-donnees-juridique/les-ateliers-rgpd-2019.html,14,477.6
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Musclez votre culture territoriale en prévision de votre épreuve orale!,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Mieux connaître l’environnement territorial</li>
<li>Comprendre le millefeuille administratif et les pouvoirs de chaque échelon (commune, intercommunalité (à fiscalité propre, SIVU, SIVOM, Pôles métropolitains), département, région)</li>
<li>Maîtriser la décentralisation et la déconcentration</li>
<li>Comprendre les politiques publiques locales en matière d’aménagement du territoire, de protection sociale, d’éducation, de culture, d’économie, de santé, d’environnement,…</li>
<li>Connaître l’actualité des collectivités territoriales</li>
</ul>
                                            </div>",,4124,https://www.comundi.fr/formation-methodologie-generale-et-culture-territoriale/musclez-votre-culture-territoriale-en-prevision-de-votre-epreuve-orale.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation modes d’accueil de la petite enfance,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Identifier les principes fondamentaux de l'organisation juridique et du contentieux administratif</li>
<li>Comprendre les objectifs du législateur quant à l'accueil des jeunes enfants</li>
<li>Connaître les exigences légales du panel des modes d'accueil</li>
<li>Maîtriser les procédures d'autorisation</li>
<li>Savoir rédiger une motivation</li>
<li>Perfectionner les outils d'évaluation</li>
<li>Assurer la sécurité juridique des décisions du PCG/ prévenir le contentieux</li>
<li>Evaluer et pouvoir faire évoluer les pratiques</li>
</ul>
                                            </div>",,3349,https://www.comundi.fr/formation-eaje-creation-et-gestion-de-structure/formation-modes-d-accueil-de-la-petite-enfance.html,,
2 jours - 14 h,Formation : Design Thinking & Démarche Innovation,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Adopter le Design Thinking comme démarche d’innovation</li>
<li>S’approprier les outils du Design Thinking et découvrir le modèle par la pratique</li>
<li>Pitcher son projet et obtenir l’adhésion</li>
</ul>
                                            </div>",1 600 €,4791,https://www.comundi.fr/formation-manager-autrement/formation-design-thinking-demarche-innovation.html,14,1600
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation paie des VRP et des commerciaux : établir les bulletins de paie et les déclarations,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maîtriser les spécificités de la paie des commerciaux, en particulier celles des VRP</li><li>Établir les bulletins de paie des VRP et des commerciaux</li><li>Calculer et payer les cotisations sociales</li></ul>
                                            </div>",,3150,https://www.comundi.fr/formation-paies-specifiques/formation-paie-des-vrp-et-des-commerciaux-etablir-les-bulletins-de-paie-et-les-declarations.html,,
2 jours - 14 h,Formation : Tirez profit de vos données clients,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Utiliser les sources d'information sur vos clients et savoir prioriser leur exploitation 
</li><li>Exploiter vos données clients par des méthodes et actions simples sur les 4P
</li><li>Mesurer et revendre en interne le ROI de votre connaissance client</li></ul>
                                            </div>",1 595 €,2187,https://www.comundi.fr/formation-marketing-multicanal-et-relationnel/formation-tirez-profit-de-vos-donnees-clients.html,14,1595
